link,title,text
http://prodengi.kz/lenta/smi_uznali_o_planah_po_devalvacii_rublya/,СМИ узнали о планах по девальвации рубля,"Правительство России обсуждает возможность девальвации рубля, которая позволит частично компенсировать потери федерального бюджета от падения цен на нефть. Как передает РБК, об этом агентству Reuters сообщили два высокопоставленных чиновника финансового блока, знакомые с ситуацией. Для осуществления данного шага властям понадобится помощь Центробанка в виде калибровки темпов и объемов его валютных операций, несмотря на формальную независимость регулятора от правительства. Reuters отмечает, что в любом случае российское правительство не намерено публично устанавливать какие-либо ориентиры по курсу рубля, направленные на решение бюджетных проблем. А Банк России подчеркивает, что курс рубля определяется спросом и предложением на рынке. Как заявил один из источников агентства, чтобы воздействовать на обменный курс в выгодную для бюджета сторону Центробанку вовсе не обязательно возвращаться к публичному таргетированию курса рубля - достаточно корректировать темпы и объемы операций на валютном рынке. Собеседник агентства сообщил, что при текущей стоимости нефти рост курса доллара на один рубль принесет казне 30-40 миллиардов рублей. В ноябре 2014 года Банк России, потратив около 70 миллиардов долларов из своих резервов на поддержку рубля, перешел к политике плавающего валютного курса и таргетирования инфляции. В 2016 году федеральный бюджет страны принимался исходя из стоимости нефти марки Urals в 50 долларов за баррель. Пока же в текущем году мировые цены на нефть колеблются в районе 30 долларов, а Urals стоит еще дешевле. При цене нефти 30 долларов бюджет, запланированный с дефицитом 3 процента ВВП, может недосчитаться дополнительно до 2,5 триллиона рублей, предупреждал министр финансов Антон Силуанов. Между тем, в пресс-службе министерства финансов России в ответ на сообщение Reuters заявили, что ""не обсуждают и не допускают возможности целенаправленного ослабления курса рубля"". ""Напротив, в настоящее время идет работа над мерами по бюджетной консолидации и сокращению дефицита федерального бюджета. Такие меры, с точки зрения Минфина, окажут на курс укрепляющее воздействие"", - говорится в сообщении ведомства. 10 февраля доллар на Московской бирже стоил 78,52 рубля, евро - 87,99. Нефть марки Brent торговалась около отметки в 30,96 доллара за баррель. "
http://prodengi.kz/lenta/kazahstan_sredi_liderov_po_rostu_cen_v_sng/,Казахстан среди лидеров по росту цен в СНГ,"В Казахстане и Молдове в 2015 году цены выросли на 13,6%, а в Украине потребительские товары подорожали в среднем на 43,3%, передает LS, со ссылкой на комитет по статистике. Среди государств содружества цены на потребительские товары и услуги за год (декабрь 2015 года к декабрю 2014 года) в Украине увеличились на 43,3%, Казахстане и Молдове - по 13,6%, России - на 12,9%, Беларуси - на 12%, Азербайджане - на 7,6%, Таджикистане - на 5%, Кыргызстане - на 3,4%, а в Армении - снизились на 0,1%. Напомним, инфляция  в Казахстане в 2015 году составила 13,6%. Это самый высокий показатель в ЕАЭС. А в январе 2016 года рост цен в Казахстане, по отношению к декабрю 2015 года, составил 1,8%. При этом больше всего в прошлом месяце подорожали овощи, яйца и фрукты. Алина Есеналина "
http://prodengi.kz/lenta/kitaj_otpustit_yuan_v_svobodnoe_plavane_ekspert/,Китай отпустит юань в свободное плаванье - эксперт,"Китай в ближайшее может отпустить юань в свободное плаванье, сообщает ""Вести. Экономика"". Такое мнение высказал стратег Societe Generale Альберт Эдвардс. Ранее он предсказал обвал фондового рынка США на 75 процентов, утверждая, что весь мир стоит на пороге глобальной рецессии. Согласно прогнозу Эдвардса, Китай собирается задействовать свои валютные резервы и будет вынужден перейти к плавающему курсу национальной валюты. В середине 2014 года валютные резервы Китая достигли максимума на отметке 4 триллиона долларов. С тех пор страна практически прожгла примерно 800 миллиардов иностранной валюты. ""На отметке в 3,2 миллиарда долларов рынок остается уверенным, что финансовые мощности страны позволят поддержат юань. Однако в том случае, если валютные резервы упадут ниже минимального значения, рекомендованного МВФ, в 2,8 триллиона долларов - паники не избежать"", - считает Эдвардс. По его мнению, падение юаня в прошлом году с 6,2 за доллар до 6,55 было связано с продолжающимся сокращением валютных резервов Китая. На взгляд Эванса, НБК фактически уже постепенно отпускает юань в свободное плаванье. ""Рынок, скорее всего, поразят одинаково сильно как скорость снижения валютных резервов, так и приближение ключевого уровня в 2,8 триллиона долларов. Даже при отсутствии фактической валютной слабости любые дальнейшие крупные падения резервов будут создавать только дополнительное давление. Приближение к этой отметке ускорит отток капитала и приведет к неизбежному"", - заключил он. "
http://prodengi.kz/lenta/chto_budet_s_ipotekoj/,Что будет с ипотекой?,"Банки временно приостановившие выдачу ипотеки, не будут индексировать ставки на ипотечные кредиты. Однако условия кредитования будут пересмотрены в соответствии с текущей ситуацией на банковском рынке и рынке недвижимости. Напомним, ранее на сайте «Крыша» появилась информация о приостановлении выдачи ипотечных кредитов в некоторых банках второго уровня, а также вступлении в силу  поправок в некоторые законодательные акты касающиеся банковской деятельности с 1 января 2016 года. В числе таких банков оказались: Банк ЦентрКредит, ForteBank, Сбербанк и Банк ВТБ, а также Казкоммерцбанк. Советник Управляющего директора  Гульчахра Баратова Банка Центр Кредит (БЦК) , который является одним из ведущих банков на рынке предоставляющих ипотечное кредитование, рассказала что на 1 декабря 2015  доля ипотечного кредитования в портфеле банка составляла 17% от общего ипотечного портфеля банков второго уровня. Таким образом, практически каждый 5-ый ипотечный кредит в Казахстане выдан БЦК. «БЦК и сейчас обслуживает клиентов по ипотеке  в рамках Госпрограммы по рефинансированию ипотечных кредитов, начатой в 2015 г. Приостановлено кредитование по собственной программе БЦК, в связи с пересмотром условий Программы банка», - сообщил специалист. Г- жа Баратова пояснила, что такую инициативу банк предпринял в связи со значительными изменениями на финансовом рынке и рынке недвижимости РК. «БЦК возобновит  ипотечное кредитование при условии стабилизации ситуации на финансовом рынке и рынке недвижимости», - пояснила она. В Банке ВТБ (Казахстан) выдача ипотечных займов приостановлена также в связи с изменением условий на рынке кредитования. Возобновление выдачи ипотеки планируется после стабилизации экономической ситуации на рынке. В Казкоммерцбанке рассказали, что в настоящий момент пересматриваются условия ипотечного кредитования. «Сейчас рассчитываются условия с учётом источников фондирования, оценки рисков», - пояснили в пресс службе банка. «По действующим ипотечным займам банк не будет повышать процентные ставки или их индексировать, поскольку это запрещено законом», - сообщили в БЦК. «В Банке ВТБ (Казахстан) нет ипотечных займов в валюте, поэтому проводить никаких индексаций процентных ставок не планируется», - отметил директор департамента развития розничного бизнеса Банка  ВТБ (Казахстан) Динара Жакенова. «Прямой зависимости между процентными ставками и уровнем инфляции нет. Ставка зависит в первую очередь от стоимости фондирования», - пояснили в Казкоме. Более того, БЦК планирует запустить новую программу ипотечного кредитования, которая в настоящее время находится на стадии разработки. В Казкоммерцбанке разрабатывается программа кредитования на покупку недвижимости, имеющегося на балансе банка. «При этом условия будут достаточно привлекательными, а ставка будет начинаться от 11% в тенге» , - добавили в Казкоме. «Валютные займы в БЦК занимают около 18%, ограничение по валютным займам, которые банки ввели с января 2016 г. были установлены не нами, а регулятором», - рассказала г-жа Баратова. При этом банк не намерен ограничивать клиентов в выборе метода погашения кредитов, клиенты вправе сами выбирать удобный способ погашения кредита - либо ануитетный метод либо равными долями. Такую же позицию имеет и  банк ВТБ (Казахстан). «Банк ВТБ (Казахстан) -  клиентоориентированная организация. Наши клиенты самостоятельно определяют удобную для них систему погашения кредита» В банке ВТБ (Казахстан) портфель валютных кредитов физических лиц составляет менее 1 %.  В Казкоммерцбанке объем валютных кредитов составляет около 20%, тенговых 80%. В БЦК основным критерием одобрения кредита является наличие стабильных доходов клиента, наличие собственных средств клиента в виде первоначального взноса, возможность обслуживать кредит в течение длительного срока 10-20 лет, поэтому в этой части Банк будет более внимательно оценивать потенциальных клиентов.    Сложнее всего кредит будет получить клиентам с низкими доходами и низким первоначальным взносом. «Задача банка не просто «раздать кредиты», а вместе с клиентом оценить его возможности и потребности. Мы помогаем нашим клиентам понять, действительно ли существуют для него необходимость в кредите и сможет ли он обслуживать этот заем? Главная цель банка - выстроить работу так, чтобы после закрытия сделки все стороны процесса остались довольны результатом», - пояснила г-жа Жакенова. Как и прежде, принимая решение о выдаче кредита, банк ориентируется на хорошую кредитную историю и соотношение доходов и расходов заемщика. В отношении систем риск-менеджмента Банка ВТБ (Казахстан)  не планирует вносить какие-либо изменения, поскольку изначально она  выстроена на очень высоком уровне. «Казкоммерцбанком уже достаточно давно внедрены различные скоринговые программы, которые позволяют быстро и в автоматизированном порядке анализировать заёмщика, риски и принимать решение о выдаче кредита», - отметили в пресс-службе банка. Добавив, что банк достаточно консервативно подходит к оценке заёмщиков. «К примеру, за долго до того, как Национальным банком было требование о том, что ежемесячный платёж по кредитам одного заёмщика не должен превышать 50% его дохода, мы применяли подобный подход», - подчеркнули в банке. Что касается непосредственно получения кредита, то минимальны шансы у заемщиков, которые не имеют официальных источников доходов. Вторым препоном может стать неудовлетворительная кредитная история, а вот у клиентов участвующих в зарплатных проектах Казкоммерцбанка, гораздо больше шансов получить ипотечный кредит. "
http://prodengi.kz/lenta/kak_vybrat_pravilnyj_bank/,Как выбрать правильный Банк,"В Казахстане сейчас работает 35 банков. Много это или мало, сложно сказать. С одной стороны, в России в 20 раз больше банков, при том, что население больше всего в 9 раз. Для вкладчиков важно понимать суть работы классического Банка, чтобы определить, его благонадежность. Фактически Банк - это посредник между вкладчиками и заемщиками, институт, который берет деньги у юридических и физических лиц и выдает кредиты юридическим и физическим лицам, добавляя свою маржу. При этом, доля собственного капитала Банка (один из источников фондирования) занимает лишь десятую часть, остальное все является обязательства. Самое главное - это правильная оценка рисков, при выдаче кредитов юридическим и физическим лицам, и чем лучше поставлен риск-менеджмент, тем лучше Банк. Если в Банке кривое управление, то всегда есть соблазн выдать кривой заем, который в будущем может стать проблемным. Риск-менеджмент хорош в том Банке, где правильно поставлено корпоративное управление, так как при правильном корпоративном управлении, сложно обойти процедуры и выдать кредит не по назначению за определенную маржу. Как обычному населению определить, где хорошое корпоративное управление, ведь мы же не имеем инсайдерской информации, а наших знаний не достаточно для определения финансового состояния Банковской системы. Многие ориентируются на рейтинги агенств, или на долю проблемных кредитов, или на ставки, которые предлагают Банки. В Казахстане, увы, на это смотреть не стоит, так как: 1.В Казахстане нет нормальной оценки проблемных кредитов, об этом я писал. 2. Рейтинговые агенства не всегда имеют полное представление о том или ином Банке, так как не вся информация доступна им, и они ориентируются больше на публичную отчетность и состояние среды. Поэтому, для оценки Банка, я бы посоветовал обращать внимание на корпоративное управление и акционеров Банка. Корпоративное управление лучше там, где есть множество акционеров, не один, а много, а если есть два-три крупных акционера, которые являются очень крупными, то это еще лучше, так как помимо правильных решений они делятся еще собственным опытом. В Казахстане, к таким Банкам, увы, можно отнести только те Банки, где имеется иностранная доля участия: АО ""Ситибанк Казахастан"" ДБ АО ""Сбербанк России"" АО ""Альфа-Банк"" АО ""Банк ЦентрКредит"" АО ""ВТБ Казахстан"" Остальные мелкие и их сложно назвать Банками. Из 5-ти Банков, 3 Банка являются Российскими, где проблемы такие же как в Казахстане. Ситибанк работает только с юридическими лицами и его нельзя назвать универсальным Банком. АО ""Банк ЦентрКредит"" - как не странно, единственный Банк, в котором есть иностранные участники и местные акционеры. Про этот Банк и хотелось бы написать, вернее про акционеров. Наибольшую долю в Банке занимает Кукмин Банк (41,9 процента). Мало кто слышал про такой Банк, так как у нас не настолько тесные связи с Кореей. Кукмин Банк является самым крупным Банком Кореи, с активами более 200 млрд долларов США (это больше чем вся экономика Казахстана). Банк имеет кредитный рейтинг А и котируется на мировых биржах. Этот Банк крупнее любого нашего самого крупного Банка в 10 раз. Вторым иностранным участником является IFC - 10 %. IFC - это дочерняя организация Всемирного Банка, с рейтингом AAA. 25,6 % принадлежит Байсеитову Б.Р и 22,5% распределены между сотнями других акционеров. Таким образом, в Банке нет доминирующего акционера, который бы мог единогласно принимать решения и назначать менеджмент, что позволяет принимать правильный и объективный решения. При наличии в акционерах крупных иностранных участников можно говорить о более или менее достоверной финансовой отчетности, так как требования акционеров Банка гораздо выше, чем требования нашего финансового регулятора. Галим Хусаинов "
http://prodengi.kz/lenta/politika_nacionalnogo_banka_rk_ewe_nemnogo_yasnosti/,Политика Национального банка РК: еще немного ясности,"Национальный банк страны наконец начал восстанавливать свои позиции как центробанка, уполномоченного принимать важные решения в области денежно-кредитной политики. Затянувшееся молчание нарушено - начинается систематическая работа по определению базовой процентной ставки. Однако за первым шагом должны последовать и другие. В частности, эксперты предлагают Нацбанку РК опубликовать правила его участия на валютном рынке. Наконец стали проступать контуры денежно-кредитной политики Национального банка РК. Со 2 февраля он поднял базовую ставку с 16 до 17% и возобновляет операции постоянного доступа с симметричным коридором процентных ставок +/- 2% пункта. Таким образом, ставка по операциям постоянного доступа по предоставлению ликвидности составит 19%, и 15% по операциям постоянного доступа по изъятию ликвидности. «Решение по установлению базовой ставки основывалось на предварительной аналитической работе по улучшению системы прогнозирования, как макроэкономических показателей (ВВП, инфляция), так и микроэкономических показателей (прогнозирование ликвидности банков) и стало возможным после формирования полноценного режима свободного плавающего обменного курса тенге », - отметили в центробанке. Определена даже дата следующего заседания технического комитета - 14 марта 2016 года. А министр национальной экономики Ерболат Досаев уже обозначил ожидание понижения базовой ставки, что чрезвычайно важно для восстановления тенговой ликвидности и возобновления полноценного кредитования экономики банками. Ирина ГАЛКИНА "
http://prodengi.kz/lenta/kazahstancev_obyazhut_strahovat_zhile/,Казахстанцев обяжут страховать жилье,"В Казахстане планируют обязать граждан страховать свое жилье. Об этом сегодня на заседании коллегии Министерства юстиции РК сообщил глава этого ведомства Берик Имашев, сообщает МИА ""Казинформ"". «Будет разработан новый Закон «Об обязательном страховании жилища физических лиц, собственников недвижимости», предусматривающий обязательное страхование жилища на случай ЧС», - пояснил министр. По его словам, наряду с этим предполагается внесение изменений в действующие законодательные акты в сфере налогообложения, бюджета, административных правонарушений, интеллектуальной собственности и другие. В истекшем году министерством разработан план законопроектных работ Правительства на 2016 год, который предусматривает разработку 26 законопроектов, а также план по реализации правовой политики на текущий год, который содержит 19 мероприятий. Дамир Байманов "
http://prodengi.kz/lenta/zachem_bck_otkazalsya_ot_dochki/,Зачем БЦК отказался от «дочки»?,"Банк ЦентрКредит сообщил о продаже дочернего банка ООО «Банк БЦК-Москва» частным российским инвесторам. «Дочка» БЦК столкнулась с финансовыми трудностями еще в прошлом году, поэтому эксперты считают такое решение рациональным при текущей экономической ситуации в России и Казахстане. В сообщении Банка ЦентрКредит (БЦК) отмечается, что это решение продиктовано значительным ухудшением экономической конъюнктуры и нестабильностью операционной среды в Казахстане и России. В конце 2014-го и в 2015 году финансовый сектор в обеих странах столкнулся с мировыми внешними вызовами: резкое снижение мировых цен на нефть, сохранение санкций Запада в отношении России, падение обменного курса рубля и тенге. В информации, распространенной банком, сказано, что «продажа дочернего банка продиктована необходимостью сконцентрироваться на внутреннем рынке». «Мы убеждены, что сейчас необходимо сконцентрироваться на вопросах укрепления бизнеса внутри Казахстана. Сырьевая конъюнктура и волатильность казахстанской экономики предопределяют консервативный подход к нашему бизнесу, поскольку сегодня мы должны иметь достаточно ресурсов, чтобы включиться в конкурентную борьбу за хорошего клиента в Казахстане. Ранее мы законсервировали представительство БЦК в Украине, и сложившаяся на сегодня ситуация является для нас достаточным мотивом для продажи дочернего банка БЦК-Москва», - сообщил председатель правления БЦК Владислав Ли. Актив продан частным российским инвесторам по рыночной стоимости капитала банка. Стоимость была подтверждена независимой оценкой аудиторской компании из «большой четверки». Подробные детали сделки не подлежат раскрытию ввиду конфиденциальности, говорится в сообщении. Заместитель директора Fitch Ratings (финансовые организации) Сергей Попов, рассказал, что по состоянию на конец 2015 года совокупные активы российской «дочки» БЦК составляли порядка 1% от его общих активов. При этом по итогам 2015 года банк показал отрицательный финансовый результат, банк получил убыток в размере 178 млн рублей (около $2 млн по курсу на конец года). «С учетом незначительно размера российской дочки мы считаем, что продажа данного актива не приведет к существенному изменению кредитного профиля БЦК. В то же время с учетом ослабления экономики РФ и Казахстана банку целесообразнее сфокусироваться на внутреннем рынке», - отметил специалист. Директор BRB Invest Галим Хусаинов полагает, что московской «дочке» БЦК не позволяет развиваться экономическая ситуация в России. «БЦК-Москва не являлся крупным банком, поэтому стратегически естественно в текущей ситуации сконцентрироваться на казахстанском рынке, который более понятен для Банка ЦентрКредит», - пояснил он. Г-н Хусаинов предположил, что продажа «дочки» БЦК вызвана тем, что продолжающиеся экономические проблемы в России, которые могут не разрешиться в ближайшие несколько лет, не позволят в дальнейшем развиваться банку, и в такой ситуации содержать дочерний банк убыточно. Он добавил, что проблемы российского и казахстанского рынков имеют достаточно схожи. «Однако если в Казахстане легче анализировать информацию и управлять рисками, то в России это делать крайне тяжело, так как требует больших затрат», - сказал он. «Совет директоров БЦК принял решение о продаже дочернего банка БЦК-Москва частным российским инвесторам для того, чтобы сфокусироваться на развитии на казахском рынке, поэтому сделка позволит привлечь ресурсы и благоприятно отразится на состоянии группы в целом», - отметила заместитель директора аналитического департамента «Альпари» Дарья Желаннова. Г-жа Желаннова напомнила, что финансовые проблемы у БЦК-Москва появились еще в мае 2015 года, тогда была проведена докапитализация банка на 160 млн рублей. «Руководство БЦК связывает низкую результативность дочернего банка с ухудшением экономической обстановки из-за спада мировых цен на энергоресурсы, геополитическим кризисом в Украине, а также введением экономических санкций в отношении России», - добавила она. По информации, предоставленной аналитиком, ООО «Банк БЦК-Москва» на 1 апреля 2015 занимает 350-е место по величине активов с объемом в 30,35 млрд тенге. Капитал банка при этом составил 5,71 млрд тенге, кредитный портфель - 5,79 млрд тенге, просроченная задолженность - 4,10 млрд тенге, а вклады физлиц - 3,33 млрд тенге. При этом чистый убыток банка к указанному периоду составил 339,79 млн тенге, как следует из отчетности. "
http://prodengi.kz/lenta/kurs_dollara_raspolozhilsya_na_urovne_364_tenge/,Курс доллара расположился на уровне 364 тенге,"По итогам утренней сессии KASE средневзвешенный курс доллара составил 364,10 тенге. Данная сессия является основной, сообщает Today.kz со ссылкой на Казахстанскую фондовую биржу. Объем торгов сложился на уровне 4 000 тысяч долларов США. "
http://prodengi.kz/lenta/kuda_vkladyvat_svoi_dengi_v_2016_godu/,Куда вкладывать свои деньги в 2016 году,"Нестабильность валютных курсов, девальвация тенге, рост цен на товары и услуги, падение цен на недвижимость - все это тревожит большинство казахстанцев и заставляет их искать новые возможности для сохранения и приумножения своих активов. Редакция «Къ» выяснила, какие активы будут наиболее привлекательными в 2016 году и какие рекомендации дают специалисты для того, чтобы инвестиции были успешными. Практически все опрошенные финансисты полагают, что наибольшую доходность в новом году может обеспечить такой класс активов, как акции. Так, по словам директора департамента аналитики АО «Асыл-Инвест» Айвара Байкенова , несмотря на серьезную турбулентность на рынках в начале года, акции отдельных американских компаний, которые представляют быстрорастущие секторы, принесут значительно большую доходность, нежели другие инструменты. «Экономика США остается наиболее здоровой, а доллар по-прежнему валюта №1. Тренд по перетоку капитала из развивающихся стран в США будет, на наш взгляд, сохранятся. Поэтому, несмотря на определенный перегрев, мы считаем, что американские акции могут показать хороший рост», - говорит А. Байкенов. При этом он отмечает, что отдельные тенговые активы также могут принести весьма хорошую доходность. «Мы полагаем, что девальвационный риск уже практически полностью реализовался. К примеру, доходность отдельных акций (КазТрансОйл, РД КМГ) может составить от 20 до 50% (может, даже больше), тогда как на рынке РЕПО инвесторы могут размещать сегодня деньги под 19% годовых (при ставках депозита в 14%)», - считает аналитик  Асыл-Инвест. Заместитель директора департамента по работе с физическими лицами ИК «Фридом Финанс» Дмитрий Смирнов наибольшую доходность в 2016 году также ожидает увидеть на рынке акций, так как многие компании, которые, в том числе отчетами, подтверждают то, что они не стали меньше зарабатывать, сейчас значительно недооценены за счет общей сложившейся конъюнктуры. «Основными факторами давления на рынки остаются нефть, ситуация в Китае и повышение ставки. Эти события уже отыграли себя или отыграют в ближайшее время, после чего мы увидим дальнейший рост», - говорит представитель «Фридом Финанс». Однако вице-президент АО «Сентрас Секьюритиз» Ольга Эм предупреждает о рисках в этом секторе. «Что касается рынка акций, то здесь панацеи не предвидится, рекомендую выбирать точечно, исходя из сектора, в которой работает эмитент, и тщательного анализа его финансовой отчетности», - говорит она. Для более осторожных инвесторов аналитики инвестиционных компаний предлагают более консервативный инструмент - это облигации. «Отличной альтернативой могут стать качественные облигации с фиксированной доходностью. Можно подобрать надежные облигации, номинированные в долларах или в евро, с доходностью, в несколько раз превышающей доходность по валютным депозитам. Например, некоторые компании предлагают своим клиентам облигации крупных банков Казахстана с фиксированной доходностью от 7,5% годовых в долларах», - говорит Дмитрий Смирнов. «На наш взгляд, в первой половине года инвесторам лучше придерживаться консервативных стратегий инвестирования. Так одним из основных инструментов могут стать еврооблигации или вклады. Дело в том, что низкие цены на нефть не позволят акциям казахстанских компаний показать уверенную положительную динамику. При этом валютные инструменты помогут защитить средства от возможного дальнейшего обесценивания тенге, которое может произойти в случае ухудшения ситуации», - комментирует аналитик группы компаний ""ФИНАМ"" Богдан Зварич. Для тех, кто не владеет знаниями и навыками на рынке ценных бумаг, финансисты рекомендуют обратиться к традиционным инструментам, таким как депозиты и недвижимость, однако предупреждают, что инвестиции в эти активы вряд ли будут очень высокими. «Депозиты, номинированные в тенге, даже после повышения ставки до 14% годовых сейчас не столь востребованные, так как глобально сохраняются опасения на счет дальнейшего ослабления тенге. Большую же часть составляют депозиты в долларах, по которым ставку снизили до 2% годовых. Скоро мы увидим некоторое перетекание долларовых депозитов в тенговые, но не стоит ждать, что это будет очень масштабным событием», - считает Дмитрий Смирнов. По мнению Айвара Байкенова, рынок недвижимости в долларовом выражении будет снижаться. Спрос будет падать на фоне снижения покупательской способности населения и отсутствия доступа к недорогим ипотечным займам. Поэтому рассматривать покупку квартиры в качестве инвестиции не рекомендуется. Падение цен может составить порядка 10-20%. Что касается рынка драгоценных металлов (золота, серебра, платины), причем как самого металла, так и производных бумаг по ним (фьючерсы), то здесь аналитики особого оптимизма не разделяют. «Серьезных перспектив для роста золота и серебра мы не видим, даже несмотря на рост спроса на физическое золото. Исторически золото рассматривалось в роли хеджа против инфляции, однако в настоящий момент в развитых странах наблюдаются дефляционные риски», - прогнозирует Айвар Байкенов. По словам Дмитрия Смирнова, инвестиции в драгоценные металлы не стоит рассматривать на короткий промежуток времени, они более интересны как надежные, долгосрочные инвестиции с невысокой доходностью, поскольку необходимо оплачивать налоги и услуги, связанные с их хранением. «Что касается золота и серебра, то здесь основным фактором будет ожидание дальнейшего ужесточения кредитно-денежной политики со стороны ФРС США. Так, в случае улучшения данных по американской экономике, ожидание подъема ставки будет приводить к продажам в благородных металлах и наоборот - плохая статистика и откладывание ужесточения денежно-кредитной политики со стороны ФРС. На этом фоне золото и серебро будут демонстрировать высокую волатильность, а вот реальный рост вряд ли покажут, - считает Богдан Зварич. Ольга Эм считает, что золото, серебро, нефть, доллар или евро - это активы, которые будут интересными и привлекательными прежде всего спекулянтам. Здесь высокая волатильность даст возможность заработать. В целом представители инвестиционных компаний ожидают увидеть сложный и противоречивый год, поэтому советуют инвесторам вести себя более осторожно. «Крупные покупки желательно отложить, если только речь не идет о хорошем бизнесе, который мог сильно подешеветь за последнее время, но имеет хорошие перспективы, требуя при этом незначительные инвестиции», - рекомендует Айвар Байкенов. «По всей видимости, мы еще увидим некоторое укрепление доллара, поэтому инвестиции в долларовые активы будут интересны. В связи с ослаблением экономики еврозоны и наличием нерешенных проблем ожидаю ослабления евро к доллару. Для сохранения можно рассматривать депозиты и облигации, возможно, в скором времени рынок недвижимости нащупает некое дно. Для преумножения рекомендую обратить внимание на акции крупных надежных компаний, которые в достаточно коротком промежутке времени покажут очень интересную доходность», - прогнозирует Дмитрий Смирнов. Богдан Зварич более оптимистично настроен. По его мнению, во второй половине года ожидается волна восстановления цен на нефть. На рынке энергоносителей начнет сказываться то снижение инвестиций в разработку новых месторождений, которое наблюдается последнее время, что приведет к снижению добычи. В результате цены на нефть начнут расти и к концу года могут подняться в районе 50 - 55 долларов за баррель. «На этом фоне мы ожидаем роста российских и казахстанских активов во второй половине года. Общий позитивный настрой и изменение отношения иностранных инвесторов экономикам, зависящим от цен на сырье, позволят рынкам этих стран выйти на новые локальные максимумы и закончить год на положительной территории. При этом основной рост, на наш взгляд, может пройти в бумагах банковского и нефтегазового секторов», - полагает он. Он добавил, что улучшение состояния экономики поддержит ритейл, что позволит этому сектору закончить год лучше рынка. «Тенге во второй половине года сможет продемонстрировать уверенное укрепление по отношению к основным мировым валютам. Так, доллар опустится до 300-320 тенге», - считает эксперт. "
