link,title,text
http://investfunds.kz/news/world/Gonkongskij-fondovyj-indeks-ruhnul-v-hode-torgov-v-chetverg-na-4-Finmarket-86219/,Гонконгский фондовый индекс рухнул в ходе торгов в четверг на 4% // Финмаркет,"Гонконгский фондовый индекс Hang Seng может продемонстрировать худшее начало нового года по лунному календарю с 1994 года, сообщило агентство Bloomberg. Индикатор к 7:05 мск упал почти на 4%. Биржа возобновила торги в четверг после трехдневного перерыва в работе, связанного с празднованием ""лунного"" нового года. Сводный индекс MSCI All-Country World снизился на 2,1% за три торговых сессии, когда гонконгский рынок не работал. В то же время биржи Китая останутся закрытыми до конца текущей недели, а Япония 11 февраля празднует День основания государства. Акции китайских нефтепроизводителей PetroChina и CNOOC подешевели соответственно на 5,9% и 6,7% в ходе торгов в Гонконге в четверг. Кроме того, дешевеют бумаги производителей ювелирных изделий Chow Sang Sang - на 1,1% и Luk Fook Holdings - на 3,1%. Австралийский индекс S&P/ASX 200 к 8:02 МСК увеличился на 0,78%, в то время как южнокорейский Kospi опустился на 2,95%."
http://investfunds.kz/news/11-fevralya-znachenie-indikatora-kazprime-ne-izmenilos-i-sostavilo-1783-godovyh-kase-48805/,"11 февраля значение индикатора KazPrime не изменилось и составило 17,83 % годовых","Казахстанская фондовая биржа (KASE) сообщает, что по результатам фиксинга 11 февраля 2016 года значение индикатора KazPrime не изменилось относительно предыдущего торгового дня и составило 17,83 % годовых. Индикатор KazPrime отражает среднее значение по ставкам размещения денег на казахстанском рынке межбанковских депозитов на срок три месяца при расчетной базе actual/360."
http://investfunds.kz/news/world/General-Motors-otzyvaet-pochti-polmilliona-avto-iz-za-problem-s-pedalyu-tormoza-Finmarket-86223/,General Motors отзывает почти полмиллиона авто из-за проблем с педалью тормоза // Финмаркет,"Американская General Motors Co. отзывает более 473 тыс. автомобилей из-за возможных проблем с педалью тормоза, сообщает ABCnews. В программу отзыва попадают выпущенные в 2015-2016 годах машины Chevrolet Silverado HD, GMC Sierra HD и Chevrolet Tahoe, которые используются в полиции. Представители GM заявили, что причиной неисправности может стать ненадежно закрепленная гайка в механизме тормоза. В компании уточнили, что не располагают сведениями о происшествиях, причиной которых был бы данный дефект."
http://investfunds.kz/news/world/Jellen-okazalos-nechem-poradovat-rynki-Rossiya-24-86231/,Йеллен оказалось нечем порадовать рынки // Россия 24,"По большому счет глава ФРС просто перечитала последнее заявление Комитета по операциям на открытом рынке, не предоставив участникам рынка достаточно поводов для оптимизма. Йеллен в очередной раз отметила, что экономика готова к постепенному повышению ставок, то есть, по ее мнению, все идет своим чередом и беспокоиться не о чем. Также Йеллен отметила, что рост зарплат должен поддержать доходы и расходы населения. Ну и, конечно, не могла глава ФРС обойти стороной состояние финансового сектора, который в последнее время вызывает определенную тревогу. Но и здесь, по мнению Йеллен, риски чрезмерного использования заемных средств остаются низкими. На эти финансовые штампы хуже всего отреагировали нефтяные котировки. Смесь WTI снова опустилась ниже $28 за баррель. Также госпожа Йеллен отметила, что финансовые условия в последнее время в меньшей степени поддерживают экономический рост, а инфляция останется низкой в краткосрочной перспективе. Это высказывание несколько приободрило фондовые рынки, но оптимизм продлился недолго. Вполне возможно, что рынок может воспринять заявление Йеллен как сигнал к тому, что рынки еще недостаточно упали, для того чтобы Федрезерв изменил свою политику. Из этого можно сделать вывод, что в ходе основной сессии в Нью-Йорке мы увидим очередную волну распродаж. Следующее заседание Федеральной резервной системы состоится уже в марте, однако уже сейчас трейдеры оценивают вероятность повышения ставок на этом заседании как нулевую."
http://investfunds.kz/news/world/Deficit-byudzheta-SShA-sokratilsya-na-174-Finmarket-86227/,"Дефицит бюджета США сократился на 17,4% // Финмаркет","В январе профицит госбюджета США составил $55,163 млрд по сравнению с дефицитом в размере $258,416 млрд годом ранее, сообщило министерство финансов страны. За четыре месяца 2016 финансового года, который начался 1 октября прошлого года, дефицит бюджета сократился на 17,4% - до $160,391 млрд против $194,213 млрд за сопоставимый период годом ранее. Поступления в бюджет в январе выросли на 2,2%, достигнув $313,579 млрд, расходы упали на 20,3% - до $258,416 млрд. Доходы за четыре месяца фингода увеличились на 3,2% - до $1,079 трлн, затраты уменьшились на 0,1%, составив $1,24 трлн. Частично профицит в прошлом месяце был обусловлен календарным фактором, поскольку ряд платежей, которые обычно производятся из бюджета в январе, в этот раз были совершены в декабре. Бюджетное управление Конгресса (CBO) прогнозирует на 2016 финансовый год дефицит госбюджета на уровне $414 млрд, или 2,2% ВВП страны. Дефицит госбюджета США по итогам 2015 финансового года, который завершился 30 сентября, снизился на 9,2% и составил $438,9 млрд, или 2,5% ВВП. Это минимальный дефицит с 2007 года как в долларовом выражении, так и в отношении к объему ВВП. Таким образом, прошлогодний результат - самый низкий за время президентства Барака Обамы. Последний раз годовой профицит бюджета фиксировался в США в 2001 году. В 2009 году был достигнут максимальный дефицит в истории страны - $1,41 трлн (9,8% ВВП)."
http://investfunds.kz/news/utrennyaya-sessiya-kase-kase-48801/,Утренняя сессия KASE,"На Казахстанской фондовой бирже (KASE) закончилась утренняя торговая сессия по доллару США с расчетами Т+0 в тенге (USDKZT_TOD), евро с расчетами T+0 в тенге (EURKZT_TOD) и в долларах США (EURUSD_TOD). В связи с праздничным днем в Китайской Народной Республике (Праздник Весны) торги китайским юанем с расчетами T+0 в тенге (CNYKZT_TOD) на KASE не проводились. Для указанных инструментов данная сессия является основной. В торгах приняли участие 14 членов валютного рынка KASE. Средневзвешенный курс доллара США с расчетами T+0 в тенге составил 360,33 тенге за доллар (-1,90 тенге), объем торгов – 32 500 тыс. USD (-1 500 тыс. USD). По евро с расчетами T+0 в тенге сделок заключено не было. На момент закрытия сессии котировки отсутствовали. По евро с расчетами T+0 в долларах США сделок заключено не было. На момент закрытия сессии котировки отсутствовали. Все тренды в данном сообщении указаны относительно последнего значения соответствующего инструмента предыдущего рабочего дня. Если на предыдущей утренней сессии сделок по инструменту заключено не было или торги им не проводились, тренд не указывается."
http://investfunds.kz/news/world/Chistaya-pribyl-Total-v-2015-godu-vyrosla-na-20-PRAJM-86239/,Чистая прибыль Total в 2015 году выросла на 20% // ПРАЙМ,"Чистая прибыль французской нефтегазовой компании Total S.A., приходящаяся на акционеров, по итогам 2015 года увеличилась на 20% по сравнению с 2014 годом - до 5,087 миллиарда долларов, следует из отчетности компании. Скорректированная разводненная прибыль на акцию составила 4,51 доллара против 5,63 доллара годом ранее. Выручка в годовом выражении упала на 30% - до 165,357 миллиарда долларов. Чистый убыток Total по итогам четвертого квартала сократился на 71% по сравнению с показателем за аналогичный период 2014 года - до 1,6 миллиарда долларов. Скорректированная разводненная прибыль на акцию составила 0,88 доллара против 1,22 доллара годом ранее. Выручка сократилась в годовом выражении на 28% - до 37,749 миллиарда долларов. Совокупный объем добычи углеводородов за 2015 год составил 2,347 миллиона баррелей нефтяного эквивалента в сутки, что на 9% больше показателя годом ранее. Total работает в основном на рынках нефти и газа, является третьим по величине нефтедобытчиком в Европе. Total является акционером российского независимого производителя газа НОВАТЭКа с долей 18,9%, а также владеет 20-процентной долей в проекте ""Ямал СПГ"", где основным акционером является НОВАТЭК."
http://investfunds.kz/news/world/Pribyl-Nokia-v-2015-g-upala-na-tret-do-247-mlrd-evro-PRAJM-86235/,"Прибыль Nokia в 2015 г упала на треть - до 2,47 млрд евро // ПРАЙМ","Прибыль финской Nokia Corp., одного из крупнейших в мире производителей телекоммуникационного оборудования, приходящаяся на акционеров головной компании, по итогам 2015 года уменьшилась на 29%, до 2,466 миллиарда евро, говорится в отчетности компании. Разводненная прибыль в пересчете на акцию составила 0,63 евро против 0,85 евро за акцию за годом ранее. Объем продаж компании по итогам 2015 года составил 12,5 миллиарда евро, что на 6,3% больше показателя за 2014 год. Прибыль компании, приходящаяся на акционеров головной компании, за четвертый квартал составила 1,79 миллиарда евро, что в 4 раза превышает показатель годичной давности. Разводненная прибыль на одну акцию компании составила 0,45 евро против прибыли в 0,11 евро на акцию годом ранее. Выручка Nokia увеличилась на 2,8% и составила 3,609 миллиарда евро. В четвертом квартале Nokia Corp. завершила продажу картографического сервиса HERE (here.com) немецким автопроизводителям Audi, BMW и Daimler. ""2015 год стал еще одним годом важных изменений Nokia, и я рад, что посреди всех этих изменений мы смогли закрыть год хорошими показателями Nokia Networks и Nokia Technologies"", - приводятся в сообщении слова президента и гендиректора Nokia Раджива Сури (Rajeev Suri), Nokia — финская транснациональная компания, производитель телекоммуникационного оборудования для мобильных, фиксированных, широкополосных и IP-сетей."
http://investfunds.kz/news/world/Dohody-ARM-Holdings-rastut-Rossiya-24-86241/,Доходы ARM Holdings растут // Россия 24,"Разработчик микропроцессоров ARM Holdings отчитался по итогам работы в IV квартале. Британская компания, технологии которой используются практически в каждом современном смартфоне, фиксирует рост доходов. Прибыль компании до вычета налогов в минувшем квартале поднялась на 17% в сравнении с результатом годичной давности и составила 138,7 млн фунтов стерлингов ($201 млн). Продажи увеличились на 19% и достигли 269,1 млн фунтов. В долларовом исчислении выручка поднялась на 14,5% до $407,9 млн. По информации британского издания Proactive Investors UK‎, выручка компании от выплаты роялти, которая формируется на основе отчислений по результатам продаж продуктов, использующих технологии ARM, выросла на 24%. Также отмечается, что в рассматриваемый период на рынок поступило 4 млрд ARM-процессоров, что на 16% больше, чем годом ранее. По итогам всего прошлого года прибыль ARM до вычета налогов увеличилась на 24%, достигнув 511,5 млн фунтов ($741 млн). При этом выручка в фунтах поднялась на 22%, до 968,3 млн, а в долларовом исчислении — на 15% до $1,49 млрд. ""2015 год был успешным в плане поставок чипов с использованием передовых технологий ARM"", — прокомментировал результаты глава компании Саймон Сегарс. По его словам, ARM вошла в 2016 г. с сильными возможностями развития бизнеса в области лицензирования благодаря запуску новых технологий и расширению рынков. Стоит отметить, что за последние несколько лет вычислительные мощности процессоров увеличились во много раз, а вот революции в области создания аккумуляторных батарей мы пока не увидели. В результате производители чипов начали гонку за максимальной энергоэффективностью. В то время как Intel остается крупнейшим поставщиком ЦП для компьютеров, на мобильном рынке она пока занимает лишь нишевую позицию. А вот ARM-процессоры от Qualcomm и Samsung завоевывают все больше поклонников. SoC Apple также основаны на ARM-архитектуре. В начале прошлого года ARM представила архитектуру Cortex-A72. На основе этой технологии будут создаваться самые мощные кристаллы типа SoC. В текущем году им будут оснащены наиболее мощные гаджеты от ведущих вендоров. Cortex-A72 выполнен по техпроцессу 16 нанометров. Это значит, что на одном кристалле умещается больше транзисторов. Когда речь идет о разработке мобильных решений, не только энергоэффективность, но и миниатюризация становятся ориентирами. При своих малых размерах и высокой плотности размещения транзисторов A72 может работать на частотах порядка 2,5 Ггц в смартфонах и до 3,5 Ггц в планшетах в случае снабжения более продвинутой системой вентиляции."
http://investfunds.kz/news/world/Ocherednoj-ubytok-Tesla-nipochem-akcii-snova-v-plyuse-Rossiya-24-86245/,Очередной убыток Tesla нипочем: акции снова в плюсе // Россия 24,"Пока миллиардер Элон Маск мечтает покорить Марс, его компания Tesla Motors, производящая электромобили, снова в убытке. По итогам IV квартала еще и выручка оказалась ниже прогнозов рынка. Производитель электрокаров Tesla Motors терпит убытки 11 кварталов подряд. В очередном отчетном IV квартале скорректированный убыток составил $0,87 на акцию. Выручка составила $1,75 млрд, что выше на 59% в сравнении с аналогичными показателями прошлого года, но убыток также вырос с 13 центов год назад. Аналитики, опрошенные Bloomberg, ожидали, что скорректированная прибыль составит $0,10 при выручке в $1,81 млрд. Впрочем, акции после закрытия торговой сессии подросли на 10% из-за оптимистического прогноза по поставкам автомобилей на текущий год. В 2016 г. Tesla Motors планирует поставить на рынок модели Model S и Model X в количестве 80-90 тыс. штук. Прогноз аналитиков - примерно 79 тыс. За IV квартал Tesla отгрузила 17 478 авто. Глобальные поставки выросли на 76% в годовом сравнении. В текущем квартале компания планирует отгрузить 16 тыс. электроседанов. Всего за прошлый год акции компании просели на 34%. Аналитики обеспокоены задержками в производстве новых моделей, что заставляет сомневаться и в способности компании оправдать ожидания по поставкам авто. Адам Джонс (известный своими ""бычьими"" настроениями в отношении компании Маска) из Morgan Stanley понизил целевые цены по бумагам Tesla на 26% до $333 за акцию из-за опасений слабых продаж Model X и Model 3. ""Мы планируем сгенерировать положительный свободный денежный поток и выйти на прибыльность не по GAAP по итогам текущего года"", - сообщается в заявлении компании. Пока, судя по показателям, траты надо снижать. Операционные расходы не по GAAP выросли с прошлого квартала на 18%, достигнув $429 млн. В 2016 г. операционные расходы увеличатся еще на 20% в связи с выходом Model 3, сообщают в Tesla Motors. В сентябре 2015 г. Элон Маск анонсировал бюджетный электромобиль Tesla Model 3. Машину покажут в конце марта, тогда же начнут принимать предварительные заказы, а поставки начнутся во второй половине 2017 г. Стало известно, что цены на новый электрический седан будут начинаться от $35 тыс. Продажи автомобиля начнутся в США. В этой стране действует несколько программ налоговых вычетов для желающих приобрести электрокары. Благодаря этому цены на новинку в ряде штатов будут ниже $35 тыс. При разработке автомобиля Tesla приняла решение отказаться от использования платформы Model S. Кузов нового электрокара будет преимущественно стальной. Аккумуляторы для машины будут производиться на новом заводе Gigafactory. Благодаря этому Tesla Motors надеется значительно снизить стоимость батарей. По предварительным данным, с новыми аккумуляторами модель сумеет преодолеть до 320 км без подзарядки. Другие подробности пока держатся в секрете."
